Company Name,Website,Basket,Segment,Product/Service Description,Revenue (Est. Rs Cr),Decision Maker,Federer Score,Score Band,Verdict/Justification
Virchow Biotech,virchowbiotech.com,Basket A,Specialty Biotech,Probiotics, Enzymes, Fermentation Services,"250-300",Dr. J. Geeta Reddy (Founder) & Gen-2 Leadership,85,A,"Science-founder with German fermenters; strong systems & Gen-2 transition."
Krishgen Biosystems,krishgen.com,Basket A,Life-Science Tools,ELISA Kits, Antibodies, Reagents,"80-100",Saurabh Gupta (Founder),82,A,"Niche export-focused reagents; strong ERP/systems and technical founder."
Athena Life Sciences,athenalifesciences.com,Basket A,Custom Synthesis,Advanced Pharma Intermediates,"~200",Dr. K. Ramesh Reddy (Founder),80,A,"PhD founder; complex synthesis capabilities and strong regulated market growth."
Epygen Biotech,epygen.com,Basket A,Specialty Biotech,Industrial Enzymes,"~50",Dr. Syed Shams Yazdani (Founder),78,A,"IIT Alumni founder; high-tech solid-state fermentation; strong IP."
Vibha Seeds,vibhaseeds.com,Basket B,Hybrid Seeds,Hybrid Seeds (Rice, Maize, Cotton),"300-350",K. Keshav Raju (MD),76,B,"Strong SAP implementation; growing sector with next-gen joining operations."
Deccan Fine Chemicals,deccanfine.com,Basket A,Custom Synthesis,PPT Intermediates, Anti-Cancer,"~150",M. Jagadeeshwar (MD),78,A,"Niche oncology intermediates; USFDA inspected facility; high systems maturity."
Mapmygenome,mapmygenome.in,Basket B,Specialty Diagnostics,Genetic Testing, DTC Kits,"30-50",Anu Acharya (CEO),75,B,"Operator-founder with Silicon Valley pedigree; tech-first systems."
Athena Life Sciences,athenalifesciences.com,Basket A,Custom Synthesis,Advanced Pharma Intermediates,"~200",Dr. K. Ramesh Reddy (Founder),80,A,"PhD founder; strong regulated market focus and complex chemistry."
Bione,bione.in,Basket B,Specialty Diagnostics,DNA Testing Kits,"20-30",Surendran K. (Founder),70,B,"Tech-first DTC brand; strong digital infrastructure and founder vision."
Aleris Life Sciences,alerislifesciences.com,Basket A,Custom Synthesis,APIs & Intermediates,"300-400",Kalyan Nanduri (Promoter),74,B,"Consistent performer in anti-diabetics; professional management structure."
Sri Biotech,sribiotech.com,Basket B,Biopesticides, Biopesticides, Hybrid Seeds,"100-150",B. V. R. Mohan Reddy (Chairman),72,B,"Pioneer in bio-pesticides; established pedigree in sustainable agri."
Jupiter Bioscience,jupiterbioscience.co.in,Basket A,Specialty Biotech,Peptide APIs,"~150",Venkat Reddy (MD),75,B,"High barrier technical niche (Peptides); strong export growth signals."
Entalis,entalis.com,Basket B,Medical Devices,Tissue Engineering, Bio-scaffolds,"30-40",Dr. D. K. Hari (Promoter),72,B,"Doctor-founder with high-tech regenerative medicine products; IP driven."
Empower Life Sciences,empowerlifesciences.com,Basket B,Medical Devices,Advanced Wound Care,"~50",Satishchandra Gore (Founder),70,B,"Make-in-India import substitution play; ISO certified operations."
Voxmed Healthcare,voxmed.in,Basket B,Medical Devices,ENT/Diagnostics Instruments,"~40",Promoter,68,B,"Specialized manufacturing; focused on export markets."
Genovate Biotech,genovate.in,Basket B,Hybrid Seeds,Hybrid Seeds (Rice, Maize),"~120",Family Promoter,68,B,"Strong breeding programs; Gen-2 beginning to take operational roles."
NutrifyLife,nutrifylife.in,Basket B,Nutraceuticals,Botanical Extracts,"~50",Promoter,65,C,"Growing sector (Nutraceuticals); capability in extraction technologies."
Vindhya Herbal,vindhyaherbal.com,Basket B,Nutraceuticals,Herbal Extracts,"~60",Promoter,65,C,"Capable producer in growing herbal segment; moderate systems."
Shivam Biotech,shivambiotech.com,Basket B,Biopesticides,Bio-fertilizers, Micro-nutrients,"~80",Promoter,68,B,"Strong beneficiary of organic farming push; established operations."
Siddharth Life Science,siddharthlifescience.com,Basket A,Custom Synthesis,API Intermediates,"~100",Promoter,65,C,"Mid-tier capabilities in multi-step synthesis; stable growth."
Glennis Life Sciences,glennislifesciences.com,Basket A,Custom Synthesis,Pharma Intermediates,"~120",Promoter,68,B,"Expanding facility; capable of serving regulated markets."
Helix Biogenisis,helixbiogenisis.com,Basket B,Specialty Diagnostics,Molecular Diagnostic Kits,"~40",Promoter,65,C,"Technical product offering; participating in diagnostic growth."
Sri Sai Drugs,srisaidrugs.com,Basket A,Custom Synthesis,Pharma Intermediates,"~80",Promoter,62,C,"Established producer; steady performance in Pharma intermediates."
Laxmi Life Sciences,laxmilifesciences.com,Basket A,Custom Synthesis,Pharma Intermediates,"~100",Promoter,62,C,"Compliance driven operations; moderate growth."
Nakoda Chemicals,nakodachemicals.com,Basket A,Custom Synthesis,Specialty Organic Chemicals,"~70",Promoter,60,C,"Niche chemistry capabilities; fits specialty chemical criteria."
Espee Industries,espeeindustries.com,Basket A,Custom Synthesis,Pharma Intermediates (Chronic),"~300",Promoter,68,B,"Established player in chronic therapies; good operational systems."
